# ra, dec
0.612566, 4.645687
0.613452, -0.109859
0.613966, -0.029296
0.614671, -0.357354
0.615371, -5.172872
0.616311, -2.053397
0.616892, 1.017373
0.617177, 7.570118
0.617702, 0.598194
0.618305, 2.871388
0.618350, 6.129128
0.619844, -4.795466
0.620446, 1.513190
0.622653, 0.690936
0.622869, 6.679853
0.622887, -4.355361
0.623696, -0.341810
0.624242, 1.382049
0.625866, 5.362821
0.625919, -1.546419
0.626433, -2.656204
0.627910, 0.273903
0.627956, 0.833093
0.628944, -0.104591
0.632563, 6.275856
0.634486, -4.108228
0.634685, -0.341633
0.635981, -1.621095
0.636936, 0.559386
0.637263, -1.879407
0.638121, -2.593670
0.638978, 2.347509
0.639885, -0.668671
0.640295, 1.878613
0.643516, -0.077028
0.643782, 5.228925
0.644006, 3.358188
0.645684, 7.230257
0.648043, -3.306073
0.648226, 5.328375
0.649047, 6.671714
0.650132, -2.698177
0.651231, -3.813960
0.651749, 3.449076
0.652747, 0.648016
0.654011, 1.812943
0.654142, 6.574084
0.655132, -0.781701
0.655470, -2.352875
0.656072, 4.450312
0.657204, -0.997246
0.657467, -3.038011
0.657584, -1.252216
0.657587, -5.844466
0.658120, -2.898959
0.659917, -3.424746
0.661157, -2.705392
0.661165, 1.710497
0.664787, 1.834366
0.665680, -4.296972
0.666062, -0.946713
0.667261, -2.034963
0.667796, -4.386875
0.668587, -0.675903
0.669874, -0.801016
0.670158, 5.796490
0.671359, -3.982713
0.671593, 1.110440
0.671798, -0.090526
0.671895, -4.198690
0.672874, -3.080909
0.673132, 0.403156
0.675142, -0.800732
0.675274, 0.007498
0.675572, 5.472989
0.676250, 0.892527
0.676345, 5.027871
0.677263, 0.542255
0.677510, -3.063390
0.678178, 5.684878
0.679703, -1.305921
0.679809, -2.699984
0.681581, -0.580315
0.682897, 0.573241
0.683307, -0.949289
0.683358, -4.417491
0.685159, -3.454548
0.685235, 3.715953
0.686993, 0.848674
0.687807, -1.338415
0.689725, -4.027471
0.689927, 0.354284
0.691193, 6.334766
0.693665, -0.104264
0.694310, -0.339553
0.695074, 1.484485
0.697951, -2.952930
0.697967, -1.538192
0.698357, 4.638432
0.699196, 1.619316
0.700313, 6.722180
0.701065, 6.554739
0.701682, -3.116506
0.702530, -3.027683
0.703840, 0.946753
0.704039, 2.572228
0.706361, 6.845723
0.707424, 1.217720
0.707441, -1.379590
0.707532, 2.343758
0.708153, -6.926877
0.708431, 4.142083
0.708529, 4.451322
0.712644, -0.214059
0.714374, 5.880463
0.716346, -4.231479
0.716366, -3.774226
0.716827, -2.008986
0.717026, 8.123572
0.718231, 5.876660
0.718671, 2.514969
0.718683, -1.543529
0.719181, -3.729201
0.719690, -0.058598
